number,text
margin_note 232,Victory of Conſtantine near Rome. A. D. 312. 28th Oct.
margin_note 233,"His reception,"
margin_note 234,and conduct at Rome.
margin_note 235,His alliance with Licinius. A. D. 313. March.
margin_note 236,War between Maximin and Licinius. A. D. 313.
margin_note 237,"The defeat, April 30,"
margin_note 238,and death of the former.Auguſt.
margin_note 239,Cruelty of Licinius.
margin_note 240,Unfortunate fate of the empreſs Valeria and her mother.
margin_note 241,Quarrel between Conſtantine and Licinius. A. D. 314.
margin_note 242,Firſt civil war between them.
margin_note 243,Battle of Cibalis. A. D. 315. 8th Oct.
margin_note 244,Battle of Mardia.
margin_note 245,Treaty of peace.December.
margin_note 246,General peace and laws of Conſtantine. A. D. 315—323.
margin_note 247,The Gothic war.
margin_note 248,A. D. 322.
margin_note 249,Second civil war between Conſtantine and Licinius. A. D. 323.
margin_note 250,Battle of Hadrianople. A. D. 323. July 3.
margin_note 251,"Siege of Byzantium, and naval victory of Criſpus."
margin_note 252,Battle of Chryſopolis.
margin_note 253,Submiſſion and death of Licinius.
margin_note 254,Re-union of the empire. A. D. 324.
margin_note 255,Importance of the inquiry.
margin_note 256,Its difficulties.
margin_note 257,Five cauſes of the growth of Chriſtianity.
margin_note 258,THE FIRST CAUSE. Zeal of the Jews.
margin_note 259,Its gradual increaſe.
margin_note 260,Their religion better ſuited to defence than to conqueſt.
margin_note 261,More liberal zeal of Chriſtianity.
margin_note 262,Obſtinacy and reaſons of the believing Jews.
margin_note 263,The Nazarene church of Jeruſalem.
margin_note 264,The Ebionites.
margin_note 265,The Gnoſtics.
margin_note 266,"Their ſects, progreſs, and influence."
margin_note 267,The daemons conſidered as the gods of antiquity.
margin_note 268,Abhorrence of the Chriſtians for idolatry.
margin_note 269,Ceremonies.
margin_note 270,Arts.
margin_note 271,Feſtivals.
margin_note 272,Zeal for Chriſtianity.
margin_note 273,THE SECOND CAUSE. The doctrine of the immortality of the ſoul among the philoſophers;
margin_note 274,among the Pagans of Greece and Rome;
margin_note 275,among the barbarians;
margin_note 276,among the Jews;
margin_note 277,among the Chriſtians.
margin_note 278,Approaching end of the world.
margin_note 279,Doctrine of the Millennium.
margin_note 280,Conflagration of Rome and of the world.
margin_note 281,The Pagans devoted to eternal puniſhment.
margin_note 282,Were often converted by their fears.
margin_note 283,THE THIRD CAUSE. Miraculous powers of the primitive church.
margin_note 284,Their truth conteſted.
margin_note 285,Our perplexity in defining the miraculous period.
margin_note 286,Uſe of the primitive miracles.
margin_note 287,THE FOURTH CAUSE. Virtues of the firſt Chriſtians.
margin_note 288,Effects of their repentance.
margin_note 289,Care of their reputation.
margin_note 290,Morality of the fathers.
margin_note 291,Principles of human nature.
margin_note 292,The primitive Chriſtians condemn pleaſure and luxury.
margin_note 293,Their ſentiments concerning marriage and chaſtity.
margin_note 294,Their averſion to the buſineſs of war and government.
margin_note 295,THE FIFTH CAUSE. The Chriſtians active in the government of the church.
margin_note 296,Its primitive freedom and equality.
margin_note 297,Inſtitution of biſhops as preſidents of the college of preſbyters.
margin_note 298,Provincial councils.
margin_note 299,Union of the church.
margin_note 300,Progreſs of epiſcopal authority.
margin_note 301,Pre-eminence of the metropolitan churches.
margin_note 302,Ambition of the Roman pontiff.
margin_note 303,Laity and clergy.
margin_note 304,Oblations and revenue of the church.
margin_note 305,Diſtribution of the revenue.
margin_note 306,Excommunication.
margin_note 307,Public penance.
margin_note 308,The dignity of epiſcopal government.
margin_note 309,Recapitulation of the five cauſes.
margin_note 310,Weakneſs of polytheiſm.
margin_note 311,"The ſcepticiſm of the Pagan world proved favourable to the new religion,"
margin_note 312,as well as the peace and union of the Roman empire.
margin_note 313,Hiſtorical view of the progreſs of Chriſtianity
margin_note 314,in the Eaſt.
margin_note 315,The church of Antioch.
margin_note 316,In Egypt.
margin_note 317,In Rome.
margin_note 318,In Africa and the weſtern provinces.
margin_note 319,Beyond the limits of the Roman empire.
margin_note 320,General proportion of Chriſtians and Pagans.
margin_note 321,Whether the firſt Chriſtians were mean and ignorant.
margin_note 322,Some exceptions with regard to learning;
margin_note 323,with regard to rank and fortune.
margin_note 324,Chriſtianity moſt favourably received by the poor and ſimple.
margin_note 325,Rejected by ſome eminent men of the firſt and ſecond centuries.
margin_note 326,Their neglect of prophecy
margin_note 327,and of miracles.
margin_note 328,General ſilence concerning the darkneſs of the Paſſion.
margin_note 329,Chriſtianity perſecuted by the Roman emperors.
margin_note 330,Inquiry into their motives.
margin_note 331,Rebellious ſpirit of the Jews.
margin_note 332,Toleration of the Jewiſh religion.
margin_note 333,"The Jews were a people which followed, the Chriſtians a ſect which deſerted, the religion of their fathers."
margin_note 334,"Chriſtianity accuſed of atheiſm, and miſtaken by the people and philoſophers."
margin_note 335,The union and aſſemblies of the Chriſtians conſidered as a dangerous conſpiracy.
margin_note 336,Their manners calumniated.
margin_note 337,Their imprudent defence.
margin_note 338,Idea of the conduct of the emperors towards the Chriſtians.
margin_note 339,They neglected the Chriſtians as a ſect of Jews.
margin_note 340,The fire of Rome under the reign of Nero.
margin_note 341,"Cruel puniſhment of the Chriſtians, as the incendiaries of the city."
margin_note 342,Remarks on the paſſage of Tacitus relative to the perſecution of the Chriſtians by Nero.
margin_note 343,Oppreſſion of the Jews and Chriſtians by Domitian.
margin_note 344,Execution of Clemens the conſul.
margin_note 345,Ignorance of Pliny concerning the Chriſtians.
margin_note 346,Trajan and his ſucceſſors eſtabliſh a legal mode of proceeding againſt them.
margin_note 347,Popular clamours.
margin_note 348,Trials of the Chriſtians.
margin_note 349,Humanity of the Roman magiſtrates.
margin_note 350,Inconſiderable number of martyrs.
margin_note 351,Example of Cyprian biſhop of Carthage.
margin_note 352,His danger and flight.
margin_note 353,A. D. 257. His baniſhment.
margin_note 354,His condemnation.
margin_note 355,His martyrdom.
margin_note 356,Various incitements to martyrdom.
margin_note 357,Ardour of the firſt Chriſtians.
margin_note 358,Gradual relaxation.
margin_note 359,Three methods of eſcaping martyrdom.
margin_note 360,Alternatives of ſeverity and toleration.
margin_note 361,The ten perſecutions.
margin_note 362,Suppoſed edicts of Tiberius and Marcus Antoninus.
margin_note 363,State of the Chriſtians in the reigns of Commodus and Severus. A. D. 180.
margin_note 364,A. D. 198.
margin_note 365,Of the ſucceſſors of Severus.
margin_note 366,A. D. 211—249.
margin_note 367,A. D. 235.
margin_note 368,"Of Maximin, Philip, and Decius."
margin_note 369,A. D. 244.
margin_note 370,A. D. 249.
margin_note 371,"Of Valerian, Gallienus, and his ſucceſſors."
margin_note 372,A. D. 253—260.
margin_note 373,"Paul of Samoſata, his manners."
margin_note 374,A. D. 260.
margin_note 375,He is degraded from the ſee of Antioch.
margin_note 376,A. D. 270.
margin_note 377,The ſentence is executed by Aurelian.
margin_note 378,A. D. 274.
margin_note 379,Peace and proſperity of the church under Diocletian.
margin_note 380,A. D. 284—303.
margin_note 381,Progreſs of zeal and ſuperſtition among the Pagans.
margin_note 382,Maximian and Galerius puniſh a few Chriſtian ſoldiers.
margin_note 383,Galerius prevails on Diocletian to begin a general perſecution.
margin_note 384,Demolition of the church of Nicomedia. A. D. 303. 23d Feb.
margin_note 385,The firſt edict againſt the Chriſtians. 24th of February.
margin_note 386,Zeal and〈…〉a Chriſtian.
margin_note 387,Fire of the palace of Nicomedia imputed to the Chriſtians.
margin_note 388,Execution of the firſt edict.
margin_note 389,Demolition of the churches.
margin_note 390,Subſequent edicts.
margin_note 391,"General idea of the perſecution,"
margin_note 392,In the weſtern provinces under Conſtantius and Conſtantine;
margin_note 393,"in Italy and Africa, under Maximian and Severus;"
margin_note 394,under Maxentius;
margin_note 395,"in Illyricum and the Eaſt, under Galerius and Maximian."
margin_note 396,Galerius publiſhes an edict of toleration.
margin_note 397,Peace of the church.
margin_note 398,Maximin prepares to renew the perſecution.
margin_note 399,End of the perſecutions.
margin_note 400,Probable account of the ſufferings of the martyrs and confeſſors.
margin_note 401,Number of martyrs.
margin_note 402,Concluſion.
